date,news
2008-10-31,"Megjelenik Satoshi Nakamoto Bitcoin whitepaperje, amely egy bankoktól független, peer-to-peer elektronikus pénzrendszert vázol fel, és elindítja a későbbi Bitcoin-ökoszisztéma szellemi alapjait."
2009-01-03,"Elindul a Bitcoin hálózat: Satoshi kibányássza a genesis blokkot, amely a 'Chancellor on brink of second bailout for banks' újságcímre utal, erős narratívát adva az új, infláció ellen védett pénz koncepciójának."
2010-05-22,"Lebonyolódik a híres 'pizzatranzakció': 10 000 BTC-ért két pizzát vesznek, ami az első dokumentált reálgazdasági Bitcoin-vásárlás, és visszamenőleg mérföldkő az árfolyam történetében."
2011-06-01,"A Mt.Gox tőzsdén súlyos biztonsági incidens és flash crash történik, a BTC árfolyama rövid időre gyakorlatilag nullára zuhan, majd visszapattan; ez ráirányítja a figyelmet a tőzsdekockázatokra és a volatilitásra."
2012-11-28,"Lezajlik az első Bitcoin-halving: a blokkjutalom 50 BTC-ről 25 BTC-re csökken, ami tartósan mérsékli az új kínálatot, és hosszabb távon bikapiaci narratívát épít az eszköz köré."
2013-01-01,"Az év elején erősödik a médiafigyelem és a befektetői érdeklődés a Bitcoin iránt, az árfolyam 13 USD körüli szintről indul és fokozatosan emelkedni kezd, miközben egyre több új tőzsde és pénztárcaszolgáltató jelenik meg."
2013-02-01,"Februárban nő a kereskedési forgalom és a spekuláció, a növekvő likviditás és az euróövezeti adósságválsággal kapcsolatos aggodalmak erősítik a Bitcoin 'digitális menedék' narratíváját."
2013-03-01,"A ciprusi bankválság és a betétbefagyasztások hírei felerősítik a bizalmatlanságot a hagyományos bankrendszerrel szemben; a Bitcoin iránt ugrásszerű érdeklődés jelenik meg, sokan alternatív értéktárolóként tekintenek rá."
2013-04-01,"Áprilisban az első nagy Bitcoin-buborék alakul ki: az ár néhány hét alatt 266 USD fölé szárnyal, majd hirtelen összeomlik 50–100 USD közé, ami megmutatja a piac extrém volatilitását és a spekulatív tőkebeáramlást."
2013-05-01,"A piac a tavaszi összeomlás után konszolidálódik, a szabályozók világszerte vizsgálni kezdik a kriptotőzsdék jogi státuszát, miközben nő a kisbefektetői és technológiai közösségi érdeklődés."
2013-06-01,"Az amerikai hatóságok pénzmosás-ellenes szabályok alá kezdik sorolni a kriptotőzsdéket, egyes szolgáltatók számláit befagyasztják; a hírek rövid távú bizonytalanságot, de hosszabb távon intézményesedést jeleznek."
2013-07-01,"A nyár folyamán újabb kereskedési platformok indulnak, illetve több nagyobb kereskedő (pl. online szolgáltatók) kísérletezni kezd a Bitcoin elfogadásával, ami támogatja az 'elfogadottság növekszik' narratívát."
2013-08-01,"Android-os Bitcoin-pénztárcáknál feltárt kriptográfiai hiba és néhány kisebb hack rámutat a technikai kockázatokra, ugyanakkor gyors javítások érkeznek, erősítve az open-source fejlesztői közösség szerepét."
2013-09-01,"Németország 'magánpénzként' ismeri el a Bitcoint adózási szempontból, miközben a kereskedési forgalom tovább nő; a szabályozói elismerés vegyes, de legitimáló hatású sok befektető számára."
2013-10-02,"Az FBI lekapcsolja a Silk Road darknet piacteret és lefoglal egy nagy mennyiségű Bitcoint; a hír azonnali árfolyam-sokkot okoz, de a piac viszonylag gyorsan stabilizálódik, jelezve a növekvő ellenálló képességet."
2013-11-01,"Novemberben parabolikus rally indul: a BTC árfolyam 200 USD körüli szintről 1000 USD fölé emelkedik, részben a kínai kereslet növekedése és a spekuláció miatt, sok elemző ekkor kezdi nyíltan 'buboréknak' nevezni a jelenséget."
2013-12-01,"A kínai jegybank megtiltja a bankoknak és fizetési szolgáltatóknak a Bitcoinhoz kapcsolódó szolgáltatásokat, ami éles korrekciót vált ki a hónap végén, és előrevetíti a későbbi szigorúbb kínai fellépéseket."
2014-01-01,"Az év elején fokozódik a szabályozói nyomás világszerte, miközben a BTC árfolyam továbbra is viszonylag magas, de ingadozó; egyre több tőzsde és szolgáltató igyekszik megfelelni a pénzmosás-ellenes előírásoknak."
2014-02-01,"Februárban csődöt jelent a Mt.Gox, a legnagyobb Bitcoin tőzsde, miután több százezer BTC 'eltűnését' jelenti be; a botrány súlyos árfolyamesést és bizalomvesztést okoz a központi tőzsdékkel szemben."
2014-03-01,"Új szolgáltatók (pl. Bitstamp, Kraken) erősítik pozíciójukat a Mt.Gox bukása nyomán, a piac lassan talpra áll; megjelennek az első komolyabb intézményi elemzések a Bitcoin hosszú távú befektetési kockázatairól és lehetőségeiről."
2014-04-01,"A szabályozók az USA-ban és Európában iránymutatásokat adnak ki a Bitcoin adózásáról és jogi besorolásáról, ami rövid távon bizonytalanságot, hosszabb távon nagyobb kiszámíthatóságot teremt a befektetők számára."
2014-05-01,"Májusban folyamatos árfolyamsüllyedés és forgalomcsökkenés látható, a befektetői hangulat óvatosabb, sokan 'poszt-Mt.Gox' medvepiacként tekintenek az időszakra."
2014-06-01,"Több amerikai és ázsiai szabályozó szervezet figyelmeztetést ad ki a kriptók kockázatairól, miközben a technológiai közösség a Bitcoin blockchain mögötti technológia (disztribuált főkönyv) egyéb felhasználási módjait kezdi vizsgálni."
2014-07-01,"A nyár során több kisebb tőzsde és tárcaszolgáltató hackje kerül napvilágra, ami a kiberbiztonság fontosságára hívja fel a figyelmet; a piac alacsonyabb árfolyam mellett, de fokozatosan stabilizálódik."
2014-08-01,"Megjelennek az első komolyabb vállalati és banki kísérletek blockchain-alapú megoldásokra (pl. elszámolási rendszerek), ami a technológiát elválasztja a BTC-árfolyamtól, de hosszabb távon legitimitást ad az ökoszisztémának."
2014-09-01,"Szeptemberben a BTC árfolyam tovább gyengül, sok spekulatív befektető kiszáll; a piac 'tisztulása' és a hosszú távú holder bázis megerősödése fontos struktúrális változásként értelmezhető."
2014-10-01,"A PayPal és más online fizetési szereplők kísérleti integrációkat jelentenek be kriptós fizetési processzorokkal, ami jelzi, hogy a nagy fintech cégek komolyan figyelik a Bitcoint és a digitális fizetéseket."
2014-11-01,"A medvepiac elhúzódik, az árfolyam 300 USD alá is süllyed, ugyanakkor nő a fejlesztés a Bitcoin-protokoll és a második rétegű megoldások (Lightning-hoz hasonló koncepciók) terén."
2014-12-01,"Az év végére a Bitcoin a 2013-as csúcsokhoz képest jóval alacsonyabb szinten stabilizálódik, a közbeszédben egyre gyakrabban hangzik el a 'buborék kipukkant' narratíva, miközben a technológiai fejlesztés töretlen."
2015-01-01,"2015 elején újabb mélypontot ér el a BTC árfolyam, sok bányász és kis tőzsde kiszorul a piacról, ugyanakkor ez csökkenti a túlzott tőkeáttételt és erősíti a hosszú távon elkötelezett résztvevők arányát."
2015-02-01,"Februárban több nagyobb fintech-rendezvény és konferencia témája lesz a Bitcoin és a blockchain, ami a 'mainstream' pénzügyi világ fokozatos érdeklődését jelzi."
2015-03-01,"Egyre több kockázatitőke-alap fektet kriptós startupokba (tőzsdék, tárcák, fizetési processzorok), ami növeli az iparág finanszírozási bázisát, még ha az árfolyam továbbra is visszafogott."
2015-04-01,"A szabályozók több országban (pl. USA, EU tagállamok) részletesebb AML/KYC elvárásokat írnak elő kriptoszolgáltatóknak, ami növeli a belépési korlátokat, de hosszabb távon intézményi bizalmat épít."
2015-05-01,"Májusban a BTC árfolyam elkezd lassan emelkedni a mélypontokról, miközben a közösség a közelgő második halving hosszabb távú hatásairól kezd vitázni."
2015-06-01,"A New York-i BitLicense szabályozás bevezetése több kriptocéget elriaszt az amerikai piacról, azonban precedenst teremt a részletes, engedélyköteles kriptoszolgáltatói modellre."
2015-07-01,"A nyári hónapokban relatív árfolyamstabilitás figyelhető meg, miközben a fejlesztők a skálázhatósági viták (blokkméret, on-chain vs. off-chain megoldások) körül egyre intenzívebb technikai és politikai vitákat folytatnak."
2015-08-01,"Több jelentős tőzsde és pénztárca implementálja a fejlettebb biztonsági megoldásokat (multisig, cold storage), válaszul az előző évek hackjeire; ez javítja az intézményi szereplők bizalmát."
2015-09-01,"Szeptemberben növekszik az érdeklődés az 'értéktároló' narratíva iránt, mivel a globális részvénypiacokon és a feltörekvő piacokon nő a bizonytalanság."
2015-10-01,"Októberben több nagy fizetési processzor szélesebb kereskedői körben teszi elérhetővé a Bitcoin-fizetést, ami a reálgazdasági használat lassú bővülését jelzi."
2015-11-01,"A BTC árfolyam elkezd határozottabban emelkedni, sok elemző szerint medvepiaci mélypontról indult új ciklus, nagy hangsúlyt kap a közelgő 2016-os halving."
2015-12-01,"Az év végén a Bitcoin kb. megduplázza árfolyamát az év eleji mélyponthoz képest, ami visszahozza a hosszabb távú befektetői érdeklődést és megalapozza a következő bikapiacot."
2016-01-01,"2016 elején a piac a közelgő második halvingre készül, a narratíva egyre inkább a csökkenő kínálatra és a hosszú távú szűkösségre fókuszál."
2016-02-01,"Nő a derivatív piaci aktivitás (futures, opciók), ami kifinomultabb spekulációt és fedezeti stratégiákat tesz lehetővé, ugyanakkor a tőkeáttétel miatt növeli a kockázatokat is."
2016-03-01,"A skálázhatósági vita (blokkméret vs. második réteg) felerősödik, a közösség szakadásának kockázata is felmerül, ami némi bizonytalanságot okoz az árfolyamban."
2016-04-01,"Áprilisban tovább nő az intézményi érdeklődés a blockchain-technológia iránt (pl. banki konzorciumok), ami közvetetten a Bitcoinra is ráirányítja a figyelmet."
2016-05-01,"Egyre több cég (pl. Overstock) vállalja nyilvánosan, hogy Bitcoint fogad el, vagy BTC-ben tartja vagyonának egy részét, erősítve az elfogadottságot."
2016-06-01,"A második halving közeledtével élénk spekuláció indul, a BTC árfolyam emelkedik, miközben a bányászok a jövőbeli bevételcsökkenésre készülnek."
2016-07-09,"Lezajlik a második Bitcoin-halving: a blokkjutalom 25 BTC-ről 12,5 BTC-re csökken; a kínálat mérséklődése középtávon bikapiaci katalizátor szerepét tölti be."
2016-08-01,"Augusztusban a Bitfinex tőzsdét jelentős hack éri, mintegy 72 millió USD értékű BTC tűnik el, ami rövid távú árfolyamesést és a tőzsdekockázatokról szóló vitát okoz."
2016-09-01,"A piac fokozatosan kiheveri a Bitfinex-incidenst, a bizalom erősítésére több tőzsde átláthatóbb tartalék-jelentést és jobb biztonsági gyakorlatot vezet be."
2016-10-01,"Tovább nő a szabályozói figyelem, a jegybankok és nemzetközi szervezetek (IMF, BIS) elemzéseket publikálnak a kriptók rendszerszintű kockázatairól és potenciáljáról."
2016-11-01,"A választási bizonytalanságok (pl. amerikai elnökválasztás) és a geopolitikai feszültségek miatt erősödik az alternatív, nem állami pénzek iránti érdeklődés."
2016-12-01,"Az év végén a BTC árfolyam határozott emelkedő trendben van, sokan a halving utáni új bikapiaci ciklus elejének tekintik az időszakot."
2017-01-01,"2017 januárjában a Bitcoin új többéves csúcsokat ér el, a növekvő médiafigyelem és a retail spekuláció erősítik az árfolyamot, miközben a szabályozók az ETF-kérelmeket vizsgálják."
2017-02-01,"Egyre nagyobb figyelmet kap az ICO-láz és az altcoin-piac, a kriptoszektor egészére óriási tőke áramlik, ami a BTC árfolyamát is felfelé húzza."
2017-03-01,"Márciusban a SEC elutasítja az első Bitcoin-ETF kérelmet, ami rövid távú korrekciót okoz, de a bikapiaci hangulat összességében megmarad."
2017-04-01,"A kriptotőzsdék forgalma rekordokat dönt, sok új befektető lép be a piacra, az árfolyam gyorsuló ütemben emelkedik, a buborékszerű jegyek egyre erősebbek."
2017-05-01,"Májusban több ország (pl. Japán) kedvezőbb szabályozói környezetet teremt a kriptóknak, a BTC-t egyre több helyen tekintik legális fizetőeszköznek vagy eszközosztálynak."
2017-06-01,"A nagy volatilitás és az ICO-bumm közepette a BTC árfolyam többször is éles korrekciókat és visszapattanásokat produkál, ami sok rövid távú spekulánst vonz."
2017-07-01,"A skálázhatósági vita hard forkhoz vezet: létrejön a Bitcoin Cash, ami technikai és politikai szakadásként jelenik meg a közösségben, de a BTC maghálózata domináns marad."
2017-08-01,"Az augusztusi fork után a Bitcoin hálózatán aktiválódik a SegWit, amely hosszabb távon javítja a skálázhatóságot és előkészíti a második rétegű megoldásokat."
2017-09-01,"Kína betiltja a belföldi ICO-kat és a kriptotőzsdéket, miközben nagy bankok és közszereplők (pl. JPMorgan CEO) nyilvánosan kritizálják a Bitcoint; a hírek erős, de átmeneti árfolyamesést okoznak."
2017-10-01,"A szabályozói szigorítások ellenére a BTC árfolyam gyorsan új csúcsokat ér el, a 'digitális arany' narratíva és a FOMO hajtja a keresletet."
2017-11-01,"Novemberben extrém buborékjelenségek figyelhetők meg, a BTC árfolyam nagy kilengésekkel közelít a 10 000 USD fölötti szintekhez."
2017-12-01,"Az év végére a BTC ára 20 000 USD közelébe emelkedik, majd éles medvepiaci korrekció indul; a retail spekulánsok nagy része ekkor lép be a piacra, ami tovább fokozza a volatilitást."
2018-01-01,"2018 elején a globális szabályozók sorra figyelmeztetnek a kriptobuborék kockázataira, több ország adó- és tiltóintézkedéseket jelent be, medvepiaci trend kezdődik."
2018-02-01,"A BTC árfolyam meredeken esik a decemberi csúcsokról, sok tőkeáttételes pozíció kényszerlikvidálódik, a piaci hangulat pánikhangulatba fordul."
2018-03-01,"A Facebook, Google és más nagy online platformok korlátozzák a kriptohirdetéseket, ami tovább rontja a szentimentet és erősíti a szabályozói kockázat percepcióját."
2018-04-01,"Áprilisban időszakos felpattanás látható, sokan 'dead cat bounce'-ként értékelik, miközben az intézményi szereplők a hosszú távú lehetőségeket elemzik."
2018-05-01,"Számos tőzsde és tokenprojekt körül felmerülő csalás és hack történet csökkenti a bizalmat, a hatóságok több helyen szigorúan fellépnek az engedély nélküli ICO-k ellen."
2018-06-01,"A BTC hosszabb ideig oldalazó, de inkább lefelé tartó trendben mozog, sok bányász és projekt finanszírozási gondokkal szembesül."
2018-07-01,"A nyár során fokozatosan csökken a kereskedési volumen, a piac 'kiszárad', a hosszú távú befektetők maradnak főként pozícióban."
2018-08-01,"A SEC több Bitcoin-ETF kérelmet elutasít vagy elhalaszt, ami rövid távon ismét nyomás alá helyezi az árfolyamot."
2018-09-01,"Szeptemberben újabb mélypontok alakulnak ki, a 'kripto tél' kifejezés elterjed a piaci szereplők között."
2018-10-01,"Októberben viszonylag alacsony volatilitás figyelhető meg, ami szokatlan a korábbi évekhez képest, sokan a piac kifáradásaként értékelik."
2018-11-01,"A BCH-fork körüli háború ('hash-háború') és a negatív hangulat miatt a BTC árfolyam újra erősen esik, közel 3 000 USD környékére."
2018-12-01,"Az év végére a BTC lényegesen alacsonyabb szinten stabilizálódik, mint 2017 végén, a piac mély medveciklusban van, miközben a fejlesztés és az intézményi érdeklődés nem áll le."
2019-01-01,"2019 elején a BTC árfolyam még medvepiaci környezetben mozog, de nő a várakozás a lehetséges ciklusfordulóval kapcsolatban."
2019-02-01,"A volatilitás viszonylag alacsony, a piac oldalaz, sok 'hodler' kitart, a rövid távú spekulánsok aránya csökken."
2019-03-01,"Intézményi szolgáltatók (pl. custody-megoldások, határidős termékek) fejlődnek, ami előkészíti a terepet a nagyobb professzionális tőke számára."
2019-04-01,"Áprilisban hirtelen árfolyamfelpattanás indul, sokan short squeeze-nek tulajdonítják; a BTC elmozdul a 4 000–5 000 USD sávból."
2019-05-01,"Májusra a BTC 8 000 USD fölé emelkedik, újra aktivizálódnak a retail befektetők, miközben nő a médiaérdeklődés."
2019-06-01,"A nyár elején a BTC közel 14 000 USD-ig emelkedik, részben a Libra-projekt (Facebook) bejelentése körüli kriptofigyelem miatt."
2019-07-01,"A szabályozók keményen reagálnak a Libra-tervekre, ami a teljes kriptószektor szabályozási kockázatát újra napirendre teszi; a BTC árfolyam korrekcióba fordul."
2019-08-01,"A globális makro bizonytalanságok (kereskedelmi háború, hozamgörbe-inverzió) felerősítik a 'digitális arany' narratívát, időszakos BTC-erősödést hozva."
2019-09-01,"Szeptemberben elindul a Bakkt fizikai elszámolású Bitcoin-futures terméke, amely intézményi belépési pontot kínál, de a kezdeti volumen csalódást kelt."
2019-10-01,"Októberben Xi Jinping pozitívan nyilatkozik a blockchain-technológiáról, ami rövid távú árfolyamrallyt vált ki, még ha kifejezetten a Bitcoinról nem is szól."
2019-11-01,"A piac ismét korrekcióba fordul, a 2019-es felpattanás nagy része leépül, a szereplők a 2020-as halvingre készülnek."
2019-12-01,"Az év végén a BTC középszinteken stabilizálódik, a narratíva a közelgő halving és a makro-bizonytalanság (lazuló monetáris politika) kombinációjára épül."
2020-01-01,"2020 elején a globális piacok még stabilak, a BTC fokozatosan emelkedik, miközben a befektetők a tavaszi halvingre figyelnek."
2020-02-01,"A Covid-járvány első hírei megjelennek, a globális piacokon nő a volatilitás; a BTC eleinte kockázatos eszközként viselkedik, majd márciusban jelentős esést szenved el."
2020-03-01,"Márciusban a Covid-pánik és a likviditási válság miatt a BTC is összeomlik (a 'Black Thursday' napon 4 000 USD körülig esik), majd a masszív jegybanki és fiskális stimulus után gyorsan talpra áll."
2020-04-01,"Áprilisban a piac a halvingre készül, a BTC visszakapaszkodik 7 000–8 000 USD körüli szintekre, a 'digitális infláció elleni fedezet' narratíva erősödik."
2020-05-11,"Lezajlik a harmadik Bitcoin-halving, a blokkjutalom 12,5 BTC-ről 6,25 BTC-re csökken; a következő hónapokban fokozatos bikapiaci trend indul."
2020-06-01,"A globális pénznyomtatás és nullkamat környezet miatt egyre több intézményi szereplő (pl. hedge fundok, nyilvános cégek) vizsgálja a BTC-t inflációs fedezeti eszközként."
2020-07-01,"Nyáron a BTC árfolyam áttöri a 10 000 USD-t, a DeFi-bumm és az általános kripto-éhség is támogatja a szektort."
2020-08-01,"MicroStrategy bejelenti első nagy BTC-vásárlásait, vállalati tartalékeszközként pozicionálva a Bitcoint, ami fontos precedenst teremt a vállalati befektetők számára."
2020-09-01,"Szeptemberben átmeneti korrekció látszik, de a hosszú távú trend emelkedő, a narratíva egyre inkább az intézményi adoptálásra épül."
2020-10-01,"A PayPal bejelenti, hogy lehetővé teszi a Bitcoin vásárlását és később a fizetést is, ami óriási legitimációs lépésként hat a mainstream felé."
